Rk,Player,Pos,Age,Tm,G,MP,FG%,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,-9999
360,Miles McBride,PG,21,NYK,40,372,.296,.370,.139,.093,.019,.120,.630,.375,.600,.200,.000,.308,.250,mcbrimi01
361,Mac McClung,SG-PG,23,TOT,2,25,.500,.500,.333,.000,.000,.167,.500,.667,.500,,,1.000,.333,mccluma01
361,Mac McClung,PG,23,CHI,1,3,1.000,1.000,.000,.000,.000,1.000,.000,1.000,,,,1.000,,mccluma01
361,Mac McClung,SG,23,LAL,1,22,.400,.400,.400,.000,.000,.000,.600,.500,.500,,,,.333,mccluma01
362,CJ McCollum,SG,30,TOT,62,2145,.460,.597,.127,.183,.162,.125,.403,.509,.642,.441,.497,.490,.388,mccolcj01
362,CJ McCollum,SG,30,POR,36,1267,.436,.565,.126,.165,.155,.119,.435,.476,.607,.409,.476,.430,.384,mccolcj01
362,CJ McCollum,SG,30,NOP,26,878,.493,.639,.128,.206,.172,.132,.361,.549,.688,.476,.523,.561,.394,mccolcj01
363,T.J. McConnell,PG,29,IND,27,652,.481,.841,.274,.332,.173,.063,.159,.514,.561,.565,.417,.308,.303,mccontj01
364,Jaden McDaniels,PF,21,MIN,70,1803,.460,.545,.283,.179,.054,.029,.455,.579,.726,.364,.533,.563,.317,mcdanja02
365,Jalen McDaniels,SF,24,CHO,55,895,.484,.575,.283,.224,.051,.016,.425,.562,.750,.386,.231,.750,.380,mcdanja01
366,Doug McDermott,PF,30,SAS,51,1223,.462,.449,.176,.185,.060,.028,.551,.512,.646,.395,.464,.538,.422,mcderdo01
367,JaVale McGee,C,34,PHO,74,1172,.629,.980,.535,.371,.052,.022,.020,.637,.706,.588,.375,.400,.222,mcgeeja01
368,Cameron McGriff,SF,24,POR,3,46,.357,.571,.357,.143,.000,.071,.429,.375,.400,.500,,.000,.333,mcgrica01
369,Rodney McGruder,SG,30,DET,51,754,.436,.351,.169,.120,.044,.018,.649,.506,.605,.370,.400,.750,.397,mcgruro01
370,Alfonzo McKinnie,SF,29,CHI,17,206,.393,.557,.311,.082,.082,.082,.443,.441,.526,.600,.000,.400,.333,mckinal01
371,JaQuori McLaughlin,PG,24,DAL,4,11,.000,.500,.000,.000,.000,.500,.500,.000,,,,.000,.000,mclauja01
372,Jordan McLaughlin,PG,25,MIN,62,902,.440,.575,.290,.230,.050,.005,.425,.530,.707,.326,.400,1.000,.318,mclaujo01
373,Ben McLemore,SG,28,POR,64,1285,.401,.226,.091,.033,.006,.096,.774,.533,.694,.389,.333,.442,.362,mclembe01
374,De'Anthony Melton,SG,23,MEM,73,1657,.404,.465,.167,.164,.068,.066,.535,.440,.595,.368,.383,.283,.374,meltode01
375,Sam Merrill,SG,25,MEM,6,58,.333,.042,.042,.000,.000,.000,.958,1.000,1.000,,,,.304,merrisa01
376,Chimezie Metu,C,24,SAC,60,1279,.452,.586,.229,.223,.085,.049,.414,.555,.718,.490,.368,.409,.306,metuch01
377,Khris Middleton,SF,30,MIL,66,2141,.443,.575,.104,.140,.189,.142,.425,.494,.736,.406,.503,.393,.373,middlkh01
378,C.J. Miles,SG,34,BOS,1,2,,,,,,,,,,,,,,milescj01
379,Patty Mills,SG,33,BRK,81,2346,.408,.285,.064,.037,.065,.118,.715,.429,.745,.207,.365,.362,.400,millspa02
380,Paul Millsap,C,36,TOT,33,376,.391,.696,.357,.243,.087,.009,.304,.463,.537,.429,.300,.000,.229,millspa01
380,Paul Millsap,C,36,BRK,24,270,.376,.682,.376,.212,.082,.012,.318,.448,.531,.389,.286,.000,.222,millspa01
380,Paul Millsap,C,36,PHI,9,106,.433,.733,.300,.333,.100,.000,.267,.500,.556,.500,.333,,.250,millspa01
381,Shake Milton,SG,25,PHI,55,1179,.429,.670,.199,.278,.136,.057,.330,.481,.700,.402,.400,.304,.323,miltosh01
382,Davion Mitchell,PG,23,SAC,75,2076,.418,.620,.189,.154,.108,.170,.380,.480,.642,.438,.352,.420,.316,mitchda01
383,Donovan Mitchell,SG,25,UTA,67,2266,.448,.525,.140,.236,.077,.072,.475,.533,.708,.465,.519,.434,.355,mitchdo01
384,Evan Mobley,PF,20,CLE,69,2331,.508,.889,.364,.307,.143,.075,.111,.541,.758,.380,.445,.323,.250,mobleev01
385,Malik Monk,SG,23,LAL,76,2139,.473,.465,.229,.162,.034,.040,.535,.568,.725,.448,.393,.303,.391,monkma01
386,Greg Monroe,C,31,TOT,14,195,.561,1.000,.632,.351,.000,.018,.000,.561,.694,.350,,.000,,monrogr01
386,Greg Monroe,C,31,MIN,4,81,.591,1.000,.545,.409,.000,.045,.000,.591,.917,.222,,.000,,monrogr01
386,Greg Monroe,C,31,WAS,2,18,.500,1.000,.750,.250,.000,.000,.000,.500,.667,.000,,,,monrogr01
386,Greg Monroe,C,31,MIL,5,70,.500,1.000,.636,.364,.000,.000,.000,.500,.429,.625,,,,monrogr01
386,Greg Monroe,C,31,UTA,3,26,.800,1.000,.800,.200,.000,.000,.000,.800,1.000,.000,,,,monrogr01
387,Moses Moody,SG,19,GSW,52,607,.437,.399,.213,.082,.049,.055,.601,.548,.641,.467,.667,.200,.364,moodymo01
388,Xavier Moon,SG,27,LAC,10,137,.490,.725,.098,.137,.176,.314,.275,.541,.400,.286,.556,.688,.357,moonxa01
389,Matt Mooney,SG,24,NYK,1,2,.000,.000,.000,.000,.000,.000,1.000,,,,,,.000,moonema01
390,Ja Morant,PG,22,MEM,57,1889,.493,.782,.332,.291,.135,.025,.218,.534,.706,.433,.384,.241,.344,moranja01
391,Juwan Morgan,PF,24,TOT,2,31,.667,.333,.333,.000,.000,.000,.667,1.000,1.000,,,,.500,morgaju01
391,Juwan Morgan,PF,24,TOR,1,27,.667,.333,.333,.000,.000,.000,.667,1.000,1.000,,,,.500,morgaju01
391,Juwan Morgan,PF,24,BOS,1,4,,,,,,,,,,,,,,morgaju01
392,Jaylen Morris,SG,26,SAS,3,16,.000,.667,.500,.167,.000,.000,.333,.000,.000,.000,,,.000,morrija01
393,Marcus Morris,PF,32,LAC,54,1564,.434,.602,.046,.145,.240,.171,.398,.478,.688,.490,.470,.424,.367,morrima03
394,Markieff Morris,PF,32,MIA,17,298,.474,.658,.140,.175,.228,.114,.342,.547,.750,.450,.500,.538,.333,morrima02
395,Monte Morris,PG,26,DEN,75,2239,.484,.594,.155,.137,.132,.169,.406,.545,.725,.491,.490,.466,.395,morrimo01
396,Emmanuel Mudiay,PG,25,SAC,2,11,.000,1.000,.000,.000,1.000,.000,.000,.000,,,.000,,,mudiaem01
397,Mychal Mulder,PG,27,TOT,17,239,.312,.299,.117,.104,.026,.052,.701,.304,.556,.000,.500,.250,.315,muldemy01
397,Mychal Mulder,PG,27,ORL,15,195,.299,.313,.134,.104,.030,.045,.687,.333,.556,.000,.500,.333,.283,muldemy01
397,Mychal Mulder,PG,27,MIA,2,44,.400,.200,.000,.100,.000,.100,.800,.000,,.000,,.000,.500,muldemy01
398,Ade Murkey,SG,24,SAC,1,1,,,,,,,,,,,,,,murkead01
399,Trey Murphy III,SF,21,NOP,62,864,.394,.329,.199,.087,.018,.025,.671,.418,.582,.167,.200,.143,.382,murphtr02
400,Dejounte Murray,PG,25,SAS,68,2366,.462,.763,.214,.206,.226,.116,.237,.504,.665,.418,.456,.451,.327,murrade01
401,Mike Muscala,C,30,OKC,43,592,.456,.343,.129,.097,.089,.028,.657,.506,.688,.458,.318,.429,.429,muscami01
402,Svi Mykhailiuk,SF,24,TOR,56,716,.389,.427,.218,.098,.060,.051,.573,.500,.588,.522,.286,.333,.306,mykhasv01
403,Abdel Nader,SF,28,PHO,14,145,.343,.600,.314,.286,.000,.000,.400,.381,.727,.000,,,.286,naderab01
404,Larry Nance Jr.,C-PF,29,TOT,46,1040,.522,.717,.466,.170,.057,.024,.283,.599,.704,.476,.214,.333,.329,nancela02
404,Larry Nance Jr.,C,29,POR,37,858,.515,.687,.449,.162,.051,.025,.313,.610,.674,.563,.300,.400,.306,nancela02
404,Larry Nance Jr.,PF,29,NOP,9,182,.551,.837,.531,.204,.082,.020,.163,.561,.808,.200,.000,.000,.500,nancela02
405,RJ Nembhard Jr.,SG,22,CLE,14,63,.333,.889,.389,.333,.111,.056,.111,.375,.857,.000,.000,.000,.000,nembhrj01
406,Aaron Nesmith,SF,22,BOS,52,574,.396,.368,.126,.154,.033,.055,.632,.612,.870,.464,.167,.700,.270,nesmiaa01
407,Raul Neto,PG,29,WAS,70,1372,.463,.728,.231,.313,.159,.025,.272,.526,.667,.449,.471,.545,.292,netora01
408,Malik Newman,PG,24,CLE,1,8,.600,.800,.200,.000,.400,.200,.200,.750,1.000,,1.000,.000,.000,newmama01
409,Georges Niang,PF,28,PHI,76,1736,.437,.313,.119,.153,.032,.009,.687,.511,.627,.465,.389,.200,.403,niangge01
410,Daishen Nix,SG,19,HOU,24,261,.403,.612,.358,.239,.000,.015,.388,.488,.667,.250,,.000,.269,nixda01
411,Zeke Nnaji,PF,21,DEN,41,698,.516,.570,.355,.156,.005,.054,.430,.557,.727,.241,.000,.400,.463,nnajize01
412,Nerlens Noel,C,27,NYK,25,562,.533,.950,.533,.250,.167,.000,.050,.561,.563,.533,.600,,.000,noelne01
413,Jaylen Nowell,SG,22,MIN,62,975,.475,.613,.203,.225,.143,.041,.387,.526,.679,.430,.508,.353,.394,nowelja01
414,Frank Ntilikina,SG,23,DAL,58,685,.399,.502,.117,.157,.094,.135,.498,.455,.462,.429,.429,.500,.342,ntilila01
415,Jusuf Nurkic,C,27,POR,56,1579,.535,.907,.490,.350,.030,.037,.093,.563,.653,.481,.278,.364,.268,nurkiju01
416,David Nwaba,SF,29,HOU,46,609,.483,.722,.511,.193,.017,.000,.278,.551,.656,.294,.333,,.306,nwabada01
417,Jordan Nwora,SF,23,MIL,62,1185,.403,.509,.188,.130,.097,.093,.491,.455,.667,.350,.333,.302,.348,nworajo01
418,Royce O'Neale,SF,28,UTA,77,2406,.457,.311,.194,.106,.011,.000,.689,.609,.686,.532,.000,,.389,onealro01
419,Semi Ojeleye,PF,27,TOT,30,406,.303,.495,.091,.263,.141,.000,.505,.306,.667,.269,.143,,.300,ojelese01
419,Semi Ojeleye,PF,27,MIL,20,308,.257,.414,.086,.229,.100,.000,.586,.241,.667,.188,.000,,.268,ojelese01
419,Semi Ojeleye,PF,27,LAC,10,98,.414,.690,.103,.345,.241,.000,.310,.400,.667,.400,.286,,.444,ojelese01
420,Chuma Okeke,PF,23,ORL,70,1749,.376,.355,.137,.139,.045,.033,.645,.480,.658,.413,.346,.211,.318,okekech01
421,Josh Okogie,SG,23,MIN,49,516,.404,.548,.365,.173,.010,.000,.452,.491,.526,.444,.000,,.298,okogijo01
422,Onyeka Okongwu,C,21,ATL,48,992,.690,1.000,.677,.296,.027,.000,.000,.690,.765,.522,.667,,,okongon01
423,Isaac Okoro,SF,21,CLE,67,1981,.480,.636,.487,.123,.009,.016,.364,.555,.648,.264,.250,.143,.350,okorois01
424,KZ Okpala,PF,22,MIA,21,244,.435,.623,.319,.232,.058,.014,.377,.488,.545,.500,.250,.000,.346,okpalkz01
425,Victor Oladipo,SG,29,MIA,8,173,.479,.507,.247,.096,.082,.082,.493,.541,.667,.286,.667,.333,.417,oladivi01
426,Cameron Oliver,SF,25,ATL,2,43,.667,.800,.600,.133,.000,.067,.200,.750,.667,1.000,,1.000,.333,oliveca01
427,Kelly Olynyk,C,30,DET,40,764,.448,.584,.301,.175,.045,.063,.416,.527,.640,.380,.385,.500,.336,olynyke01
428,Eugene Omoruyi,SF,24,DAL,4,18,.400,.600,.000,.200,.200,.200,.400,.333,,1.000,.000,.000,.500,omorueu01
429,Miye Oni,SG,24,UTA,16,44,.222,.111,.111,.000,.000,.000,.889,1.000,1.000,,,,.125,onimi01
430,Cedi Osman,SF,26,CLE,66,1462,.432,.372,.227,.107,.017,.021,.628,.559,.654,.443,.200,.417,.357,osmande01
431,Daniel Oturu,C,22,TOR,3,27,.500,.833,.500,.333,.000,.000,.167,.600,.667,.500,,,.000,oturuda01
432,Kelly Oubre Jr.,SF,26,CHO,76,1999,.440,.407,.231,.121,.042,.013,.593,.578,.716,.425,.308,.417,.345,oubreke01
433,Jaysean Paige,PG,27,DET,1,7,.000,.333,.000,.000,.000,.333,.667,.000,,,,.000,.000,paigeja01
434,Trayvon Palmer,SG,27,DET,1,17,.000,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,palmetr01
435,Kevin Pangos,PG,29,CLE,24,166,.326,.435,.109,.239,.043,.043,.565,.450,.600,.364,.500,.500,.231,pangoke01
436,Jabari Parker,PF,26,BOS,12,112,.474,.579,.211,.184,.026,.158,.421,.455,.750,.286,.000,.333,.500,parkeja01
437,Eric Paschall,PF,25,UTA,58,736,.485,.540,.315,.183,.034,.009,.460,.583,.649,.512,.250,1.000,.370,pascher01
438,Chris Paul,PG,36,PHO,65,2139,.493,.730,.034,.158,.346,.192,.270,.559,.720,.543,.592,.482,.317,paulch01
439,Cameron Payne,PG,27,PHO,58,1278,.409,.641,.187,.300,.112,.041,.359,.449,.536,.381,.530,.333,.336,payneca01
440,Elfrid Payton,PG,27,PHO,50,549,.383,.897,.263,.491,.097,.046,.103,.401,.500,.372,.353,.250,.222,paytoel01
441,Gary Payton II,SG,29,GSW,71,1247,.616,.651,.398,.244,.003,.006,.349,.754,.825,.655,.000,.500,.358,paytoga02
442,Norvel Pelle,C,28,UTA,3,19,.600,1.000,1.000,.000,.000,.000,.000,.600,.600,,,,,pelleno01
443,Reggie Perry,PF,21,TOT,10,187,.506,.797,.342,.266,.089,.101,.203,.587,.815,.333,.429,.625,.188,perryre01
443,Reggie Perry,PF,21,POR,9,177,.500,.795,.346,.269,.090,.090,.205,.581,.815,.333,.429,.571,.188,perryre01
443,Reggie Perry,PF,21,IND,1,10,1.000,1.000,.000,.000,.000,1.000,.000,1.000,,,,1.000,,perryre01
444,Jamorko Pickett,PF,24,DET,13,176,.360,.220,.040,.160,.000,.020,.780,.455,.500,.500,,.000,.333,pickeja01
445,Theo Pinson,SF,26,DAL,19,148,.359,.231,.051,.077,.026,.077,.769,.444,.500,.333,.000,.667,.333,pinsoth01
446,Mason Plumlee,C,31,CHO,73,1793,.641,.994,.681,.266,.044,.003,.006,.645,.752,.424,.357,.000,.000,plumlma01
447,Jakob Poeltl,C,26,SAS,68,1970,.618,.998,.471,.391,.133,.005,.002,.618,.747,.514,.477,.333,1.000,poeltja01
448,Aleksej Pokusevski,PF,20,OKC,61,1233,.408,.568,.200,.248,.070,.050,.432,.498,.703,.416,.344,.304,.289,pokusal01
449,Yves Pons,SF,22,MEM,12,71,.313,.438,.250,.125,.063,.000,.563,.286,.250,.000,1.000,,.333,ponsyv01
450,Jordan Poole,SG,22,GSW,76,2283,.448,.452,.142,.182,.066,.061,.548,.550,.680,.523,.457,.431,.364,poolejo01
451,Kevin Porter Jr.,PG,21,HOU,61,1907,.415,.489,.203,.157,.058,.071,.511,.456,.646,.291,.362,.351,.375,porteke02
452,Michael Porter Jr.,SF,23,DEN,9,265,.359,.534,.165,.097,.107,.165,.466,.491,.706,.300,.273,.529,.208,portemi01
453,Otto Porter Jr.,PF,28,GSW,63,1396,.464,.481,.161,.163,.087,.070,.519,.565,.746,.515,.444,.414,.370,porteot01
454,Bobby Portis,C,26,MIL,72,2028,.479,.612,.219,.185,.126,.082,.388,.533,.644,.497,.455,.437,.393,portibo01
455,Kristaps Porziņģis,PF,26,TOT,51,1481,.459,.671,.214,.183,.186,.089,.329,.532,.762,.414,.420,.456,.310,porzikr01
455,Kristaps Porziņģis,PF,26,DAL,34,1002,.451,.659,.230,.161,.191,.077,.341,.537,.778,.427,.392,.410,.283,porzikr01
455,Kristaps Porziņģis,PF,26,WAS,17,479,.475,.695,.181,.224,.178,.112,.305,.522,.723,.397,.478,.517,.367,porzikr01
456,Micah Potter,C,23,DET,3,31,.455,.818,.364,.273,.182,.000,.182,.556,.500,.667,.500,,.000,pottemi01
457,Dwight Powell,C,30,DAL,82,1798,.671,.908,.708,.160,.020,.020,.092,.703,.792,.422,.375,.125,.351,poweldw01
458,Myles Powell,PG,24,PHI,11,52,.294,.647,.353,.176,.000,.118,.353,.364,.667,.000,,.000,.167,powelmy01
459,Norman Powell,SF-SG,28,TOT,45,1458,.461,.582,.256,.179,.058,.089,.418,.491,.568,.407,.514,.426,.419,powelno01
459,Norman Powell,SF,28,POR,40,1333,.456,.577,.264,.172,.052,.090,.423,.492,.559,.409,.464,.469,.406,powelno01
459,Norman Powell,SG,28,LAC,5,125,.508,.619,.190,.238,.111,.079,.381,.487,.667,.400,.714,.000,.542,powelno01
460,Joshua Primo,SF,19,SAS,50,965,.374,.493,.200,.178,.070,.044,.507,.444,.611,.375,.263,.250,.307,primojo01
461,Taurean Prince,PF,27,MIN,69,1177,.454,.413,.174,.138,.062,.038,.587,.565,.676,.463,.625,.333,.376,princta02
462,Payton Pritchard,PG,24,BOS,71,1001,.429,.343,.094,.091,.062,.097,.657,.461,.629,.353,.478,.389,.412,pritcpa01
463,Trevelin Queen,SG,24,HOU,10,74,.455,.273,.242,.030,.000,.000,.727,.667,.750,.000,,,.375,queentr01
464,Neemias Queta,C,22,SAC,14,120,.447,1.000,.447,.368,.132,.053,.000,.447,.529,.500,.200,.000,,quetane01
465,Immanuel Quickley,PG,22,NYK,78,1802,.392,.453,.090,.167,.130,.066,.547,.448,.631,.421,.404,.354,.346,quickim01
466,Jahmi'us Ramsey,SG,20,SAC,19,134,.414,.690,.310,.224,.069,.086,.310,.475,.667,.231,.250,.600,.278,ramseja01
467,Julius Randle,PF,27,NYK,72,2544,.411,.687,.254,.152,.137,.144,.313,.458,.627,.368,.374,.335,.308,randlju01
468,Austin Reaves,SG,23,LAL,61,1418,.459,.475,.211,.157,.066,.041,.525,.616,.746,.560,.571,.231,.317,reaveau01
469,Cam Reddish,SF,22,TOT,49,1012,.404,.549,.211,.125,.108,.105,.451,.442,.593,.471,.273,.279,.359,reddica01
469,Cam Reddish,SF,22,ATL,34,797,.402,.554,.210,.111,.120,.114,.446,.421,.583,.447,.293,.231,.379,reddica01
469,Cam Reddish,SF,22,NYK,15,215,.415,.523,.215,.200,.046,.062,.477,.559,.643,.538,.000,.750,.258,reddica01
470,Davon Reed,SG,26,DEN,48,668,.503,.466,.099,.161,.075,.130,.534,.587,.688,.500,.583,.619,.430,reedda01
471,Paul Reed,C,22,PHI,38,302,.563,.917,.625,.219,.042,.031,.083,.591,.767,.190,.250,.333,.250,reedpa01
472,Naz Reid,C,22,MIN,77,1215,.489,.651,.399,.244,.008,.000,.349,.568,.684,.379,.500,,.343,reidna01
473,Nick Richards,C,24,CHO,50,367,.667,1.000,.689,.278,.033,.000,.000,.667,.774,.360,1.000,,,richani01
474,Josh Richardson,SG,28,TOT,65,1600,.438,.539,.109,.154,.178,.099,.461,.458,.655,.390,.432,.396,.415,richajo01
474,Josh Richardson,SG,28,BOS,44,1087,.443,.545,.108,.155,.175,.108,.455,.481,.703,.453,.400,.432,.397,richajo01
474,Josh Richardson,SG,28,SAS,21,513,.429,.529,.110,.152,.183,.084,.471,.416,.571,.276,.486,.313,.444,richajo01
475,Austin Rivers,SG,29,DEN,67,1480,.417,.340,.160,.151,.020,.009,.660,.563,.750,.453,.143,.000,.342,riverau01
476,Duncan Robinson,SG,27,MIA,79,2043,.399,.140,.077,.039,.012,.012,.860,.569,.679,.393,.556,.444,.372,robindu01
477,Justin Robinson,PG,24,TOT,25,304,.301,.344,.065,.075,.118,.086,.656,.313,.833,.143,.182,.250,.295,robinju01
477,Justin Robinson,PG,24,MIL,17,198,.316,.351,.088,.070,.140,.053,.649,.400,1.000,.250,.250,.000,.270,robinju01
477,Justin Robinson,PG,24,SAC,3,15,.125,.625,.000,.250,.250,.125,.375,.200,,.000,.000,1.000,.000,robinju01
477,Justin Robinson,PG,24,DET,5,91,.321,.250,.036,.036,.036,.143,.750,.143,.000,.000,.000,.250,.381,robinju01
478,Mitchell Robinson,C,23,NYK,72,1848,.761,1.000,.918,.082,.000,.000,.000,.761,.781,.536,,,,robinmi01
479,Jeremiah Robinson-Earl,C,21,OKC,49,1087,.414,.491,.244,.151,.062,.034,.509,.478,.608,.429,.200,.273,.352,robinje02
480,Isaiah Roby,PF,23,OKC,45,948,.514,.693,.319,.328,.031,.015,.307,.545,.699,.425,.300,.400,.444,robyis01
481,Rajon Rondo,PG,35,TOT,39,697,.386,.500,.222,.170,.091,.017,.500,.420,.641,.233,.313,.000,.352,rondora01
481,Rajon Rondo,PG,35,LAL,18,289,.324,.577,.254,.225,.085,.014,.423,.366,.611,.125,.333,.000,.267,rondora01
481,Rajon Rondo,PG,35,CLE,21,408,.429,.448,.200,.133,.095,.019,.552,.468,.667,.357,.300,.000,.397,rondora01
482,Derrick Rose,PG,33,NYK,26,636,.445,.664,.245,.230,.088,.102,.336,.467,.582,.508,.292,.250,.402,rosede01
483,Terrence Ross,SG,30,ORL,63,1448,.397,.523,.108,.125,.155,.135,.477,.493,.700,.435,.523,.347,.292,rosste01
484,Terry Rozier,SG,27,CHO,73,2458,.444,.492,.181,.165,.082,.064,.508,.516,.649,.396,.521,.440,.374,roziete01
485,Ricky Rubio,PG,31,CLE,34,970,.363,.577,.197,.165,.136,.078,.423,.380,.481,.294,.375,.313,.339,rubiori01
486,D'Angelo Russell,PG,25,MIN,65,2077,.411,.469,.128,.128,.104,.109,.531,.492,.696,.392,.465,.396,.340,russeda01
487,Matt Ryan,SF,24,BOS,1,5,.200,.000,.000,.000,.000,.000,1.000,,,,,,.200,ryanma01
488,Domantas Sabonis,PF-C,25,TOT,62,2136,.573,.838,.485,.265,.047,.041,.162,.623,.739,.517,.389,.219,.312,sabondo01
488,Domantas Sabonis,PF,25,IND,47,1632,.580,.811,.511,.226,.042,.032,.189,.639,.750,.504,.292,.278,.324,sabondo01
